loss,accuracy,val_loss,val_accuracy
0.46761491894721985,0.8671697378158569,0.29753512144088745,0.9112299680709839
0.24951644241809845,0.9276078343391418,0.2361307293176651,0.9278075098991394
0.1978878527879715,0.9416321516036987,0.22635214030742645,0.9363636374473572
0.15954816341400146,0.951248824596405,0.2248173952102661,0.9299465417861938
0.1324695646762848,0.9607319235801697,0.2436935007572174,0.9336898326873779
0.09922652691602707,0.9687458276748657,0.22134260833263397,0.9379678964614868
0.08524780720472336,0.9716174602508545,0.2718059718608856,0.9347593784332275
0.07231436669826508,0.9762254357337952,0.28277361392974854,0.9320855736732483
0.06218154728412628,0.9794977903366089,0.2605729401111603,0.9422459602355957
0.052552077919244766,0.9840390086174011,0.281844824552536,0.9406417012214661
0.04602552205324173,0.9861760139465332,0.3115336298942566,0.9358288645744324
0.05067024752497673,0.9839721918106079,0.3215022087097168,0.9358288645744324
0.05048612505197525,0.9837718605995178,0.3293223977088928,0.9379678964614868
0.048086926341056824,0.9848403930664062,0.35141196846961975,0.9326203465461731
0.03451791778206825,0.9885802268981934,0.4063887596130371,0.9304812550544739
0.03972715884447098,0.9884466528892517,0.3772212564945221,0.9374331831932068
0.030124250799417496,0.9909175634384155,0.37207669019699097,0.9406417012214661
0.038156621158123016,0.9893147945404053,0.350895494222641,0.9374331831932068
0.035905592143535614,0.9893147945404053,0.4199453294277191,0.9358288645744324
0.031147262081503868,0.9911847114562988,0.4321521520614624,0.9358288645744324
