loss,accuracy,val_loss,val_accuracy
0.36355462670326233,0.8939495086669922,0.22414787113666534,0.9331550598144531
0.1959885060787201,0.9394283294677734,0.2511150538921356,0.9347593784332275
0.1477300226688385,0.9540536999702454,0.19077655673027039,0.9470587968826294
0.1054474264383316,0.9657406210899353,0.1884046196937561,0.9454545378684998
0.0817958414554596,0.973888099193573,0.2254340648651123,0.936898410320282
0.06514334678649902,0.9798985123634338,0.2199019491672516,0.9486631155014038
0.051740944385528564,0.9837718605995178,0.2263958752155304,0.9465240836143494
0.04756538197398186,0.9856417775154114,0.2644498944282532,0.9422459602355957
0.04351795092225075,0.9866434931755066,0.2628400921821594,0.9417112469673157
0.03640339523553848,0.9893147945404053,0.3014105558395386,0.9417112469673157
0.030988821759819984,0.990650475025177,0.3342237174510956,0.9454545378684998
0.034474488347768784,0.9895819425582886,0.394749253988266,0.9390374422073364
0.020936837419867516,0.9937224388122559,0.40186232328414917,0.9438502788543701
0.02427373081445694,0.9930546283721924,0.43270882964134216,0.9438502788543701
0.03302127122879028,0.9904500842094421,0.4635566771030426,0.9379678964614868
0.025978121906518936,0.9934553503990173,0.3871755301952362,0.9406417012214661
0.024172645062208176,0.9931213855743408,0.46143004298210144,0.9406417012214661
0.022678328678011894,0.9938560128211975,0.43417859077453613,0.9427807331085205
0.020870892331004143,0.9938560128211975,0.46884551644325256,0.9465240836143494
0.019091781228780746,0.9943234920501709,0.4829610288143158,0.9438502788543701
